,"('Ala', 'Zmax')","('Ala', 'Zmin')","('Ser', 'Zmax')","('Ser', 'Zmin')","('Gly', 'Zmax')","('Gly', 'Zmin')"
0,9,3,12,2,12,1
1,9,3,10,2,8,1
2,9,3,10,1,8,1
3,9,2,10,2,8,1
4,9,2,12,1,12,1
5,9,3,10,1,12,1
6,9,3,10,2,12,1
7,9,3,10,1,12,1
8,9,3,10,2,12,1
9,9,3,12,2,12,1
10,9,4,10,1,12,1
11,9,3,10,1,12,1
12,12,4,12,1,12,1
13,9,3,10,1,12,1
14,12,3,12,1,12,1
15,9,3,10,1,12,3
16,9,3,10,1,10,3
17,9,3,12,1,10,1
18,9,2,10,1,9,1
19,9,2,10,1,9,1
20,9,3,10,1,9,1
21,9,3,10,1,12,2
22,9,3,10,1,12,1
23,9,3,10,1,12,1
24,9,3,10,1,12,1
25,12,3,10,1,12,1
26,9,3,10,1,12,1
27,9,3,12,1,12,2
28,9,2,10,1,12,3
29,9,3,10,1,12,1
30,9,3,12,1,12,2
31,12,3,10,1,12,1
32,9,3,12,1,12,1
33,9,3,10,1,12,1
34,12,3,10,1,12,1
35,9,3,10,1,12,1
36,9,3,10,1,12,1
37,9,3,12,1,12,1
38,9,3,10,1,8,1
39,9,3,10,1,12,1
40,9,3,10,1,12,1
41,9,3,12,1,12,1
42,9,3,10,1,12,1
43,12,2,10,1,12,1
44,9,3,10,1,12,1
45,9,3,12,1,12,1
46,9,3,10,1,8,2
47,9,3,10,1,8,1
48,9,3,12,1,8,2
49,9,1,12,1,12,2
50,9,3,10,1,12,2
51,9,1,10,1,12,1
52,9,3,10,1,12,1
53,9,3,12,1,12,1
54,9,1,10,1,12,1
55,12,1,12,1,12,1
56,9,1,12,1,9,1
57,9,1,10,1,12,1
58,9,3,10,1,12,1
59,9,1,10,1,12,1
60,9,1,10,1,12,1
61,9,1,12,1,12,1
62,9,1,12,1,12,1
63,9,1,10,1,12,1
64,9,3,10,1,12,1
65,9,1,12,1,12,1
66,12,1,12,1,12,1
67,12,1,10,1,12,1
68,12,1,12,1,12,1
69,12,1,10,1,9,1
70,12,3,10,1,7,2
71,12,3,10,1,8,1
72,12,1,10,1,9,2
73,12,1,10,1,9,2
74,12,1,12,1,12,1
75,12,1,12,1,9,2
76,12,1,10,1,7,2
77,12,3,10,1,11,1
78,12,1,10,1,12,1
79,12,1,10,1,12,1
80,12,1,10,1,8,1
81,12,1,10,1,7,1
